"","county_fips","county_name","state","turnout_rate","totalvotes","CVAP_EST","TOT_EST"
"550","16057","LATAH","IDAHO",0.603954802259887,18173,30090,38595
"551","16059","LEMHI","IDAHO",0.6486144101346,4096,6315,7745
"552","16061","LEWIS","IDAHO",0.545454545454545,1590,2915,3825
"553","16063","LINCOLN","IDAHO",0.558466453674121,1748,3130,5290
"554","16065","MADISON","IDAHO",0.589220657276995,15688,26625,38115
"555","16067","MINIDOKA","IDAHO",0.55344341522352,6871,12415,20330
"556","16069","NEZ PERCE","IDAHO",0.551579284912618,17201,31185,39995
"557","16071","ONEIDA","IDAHO",0.685903814262023,2068,3015,4270
"558","16073","OWYHEE","IDAHO",0.529332434254889,3925,7415,11355
"559","16075","PAYETTE","IDAHO",0.551234958834706,8704,15790,22775
"560","16077","POWER","IDAHO",0.586184909670563,2758,4705,7695
"561","16079","SHOSHONE","IDAHO",0.514831573655103,5120,9945,12550
"562","16081","TETON","IDAHO",0.744353029169783,4976,6685,10435
"563","16083","TWIN FALLS","IDAHO",0.545245482752327,29874,54790,80955
"564","16085","VALLEY","IDAHO",0.664059590316574,5349,8055,9895
"565","16087","WASHINGTON","IDAHO",0.615331491712707,4455,7240,10035
"566","17001","ADAMS","ILLINOIS",0.621675260239323,31951,51395,66950
"567","17003","ALEXANDER","ILLINOIS",0.532958801498127,2846,5340,7050
"568","17005","BOND","ILLINOIS",0.559435364041605,7530,13460,17135
"569","17007","BOONE","ILLINOIS",0.633636363636364,23001,36300,53655
"570","17009","BROWN","ILLINOIS",0.417734855136084,2379,5695,6835
"571","17011","BUREAU","ILLINOIS",0.648571428571429,16571,25550,33820
"572","17013","CALHOUN","ILLINOIS",0.659230769230769,2571,3900,4960
"573","17015","CARROLL","ILLINOIS",0.635781383432963,7445,11710,14795
"574","17017","CASS","ILLINOIS",0.573796192609183,5124,8930,13070
"575","17019","CHAMPAIGN","ILLINOIS",0.602815789473684,91628,152000,206420
"576","17021","CHRISTIAN","ILLINOIS",0.580401727050873,15459,26635,33890
"577","17023","CLARK","ILLINOIS",0.642984590429846,7928,12330,16090
"578","17025","CLAY","ILLINOIS",0.612343297974928,6350,10370,13465
"579","17027","CLINTON","ILLINOIS",0.589774843406128,17419,29535,37860
"580","17029","COLES","ILLINOIS",0.514363016115751,21863,42505,52800
"581","17031","COOK","ILLINOIS",0.61475796173809,2158615,3511325,5227575
"582","17033","CRAWFORD","ILLINOIS",0.564736331284374,8728,15455,19440
"583","17035","CUMBERLAND","ILLINOIS",0.666706586826347,5567,8350,10890
"584","17037","DEKALB","ILLINOIS",0.561674718196457,43600,77625,104460
"585","17039","DE WITT","ILLINOIS",0.596992481203008,7543,12635,16320
"586","17041","DOUGLAS","ILLINOIS",0.570261780104712,8169,14325,19770
"587","17043","DUPAGE","ILLINOIS",0.668442345017889,428769,641445,930515
"588","17045","EDGAR","ILLINOIS",0.565995686556434,7873,13910,17830
"589","17047","EDWARDS","ILLINOIS",0.658858267716535,3347,5080,6610
"590","17049","EFFINGHAM","ILLINOIS",0.678704952784737,17609,25945,34355
"591","17051","FAYETTE","ILLINOIS",0.557105492589364,9585,17205,22025
"592","17053","FORD","ILLINOIS",0.608852927177534,6396,10505,13760
"593","17055","FRANKLIN","ILLINOIS",0.61207065750736,18711,30570,39505
"594","17057","FULTON","ILLINOIS",0.559978730946473,15797,28210,36045
"595","17059","GALLATIN","ILLINOIS",0.648383233532934,2707,4175,5325
"596","17061","GREENE","ILLINOIS",0.533428844317096,5585,10470,13390
"597","17063","GRUNDY","ILLINOIS",0.63161185104648,23237,36790,50340
"598","17065","HAMILTON","ILLINOIS",0.6509375,4166,6400,8250
"599","17067","HANCOCK","ILLINOIS",0.621533219761499,9121,14675,18635
"600","17069","HARDIN","ILLINOIS",0.627153284671533,2148,3425,4175
"601","17071","HENDERSON","ILLINOIS",0.628775692582663,3518,5595,6965
"602","17073","HENRY","ILLINOIS",0.655398936170213,24643,37600,49680
"603","17075","IROQUOIS","ILLINOIS",0.5973479652492,13064,21870,28815
"604","17077","JACKSON","ILLINOIS",0.533759757155247,24617,46120,59190
"605","17079","JASPER","ILLINOIS",0.698775510204082,5136,7350,9590
"606","17081","JEFFERSON","ILLINOIS",0.569385362585832,16999,29855,38525
"607","17083","JERSEY","ILLINOIS",0.628236639039726,10991,17495,22440
"608","17085","JO DAVIESS","ILLINOIS",0.643977272727273,11334,17600,22185
"609","17087","JOHNSON","ILLINOIS",0.582122370936902,6089,10460,12865
"610","17089","KANE","ILLINOIS",0.606453575938294,199314,328655,526615
"611","17091","KANKAKEE","ILLINOIS",0.58192889654324,47305,81290,111495
"612","17093","KENDALL","ILLINOIS",0.662620877758492,53447,80660,121450
"613","17095","KNOX","ILLINOIS",0.546242632612967,22243,40720,51750
"614","17097","LAKE","ILLINOIS",0.656941257954201,303520,462020,702890
"615","17099","LASALLE","ILLINOIS",0.581925596630791,49743,85480,111935
"616","17101","LAWRENCE","ILLINOIS",0.465546218487395,6094,13090,16580
"617","17103","LEE","ILLINOIS",0.569134668381407,15489,27215,34720
"618","17105","LIVINGSTON","ILLINOIS",0.530910987482615,15269,28760,37280
"619","17107","LOGAN","ILLINOIS",0.51735502711723,12401,23970,29820
"620","17109","MCDONOUGH","ILLINOIS",0.510907317073171,13092,25625,31725
"621","17111","MCHENRY","ILLINOIS",0.652489125181247,141750,217245,307085
"622","17113","MCLEAN","ILLINOIS",0.623199718980524,79835,128105,173255
"623","17115","MACON","ILLINOIS",0.57945502773089,48060,82940,108405
"624","17117","MACOUPIN","ILLINOIS",0.615723530221671,22360,36315,46480
"625","17119","MADISON","ILLINOIS",0.636012311901505,130179,204680,266760
"626","17121","MARION","ILLINOIS",0.580156303092083,17074,29430,38505
"627","17123","MARSHALL","ILLINOIS",0.627582590456214,5984,9535,12060
"628","17125","MASON","ILLINOIS",0.593141289437586,6486,10935,13930
"629","17127","MASSAC","ILLINOIS",0.576866637893828,6683,11585,14885
"630","17129","MENARD","ILLINOIS",0.671303451828954,6515,9705,12575
"631","17131","MERCER","ILLINOIS",0.685289389067524,8525,12440,15970
"632","17133","MONROE","ILLINOIS",0.749138765240952,19354,25835,33705
"633","17135","MONTGOMERY","ILLINOIS",0.55687620682257,12978,23305,29300
"634","17137","MORGAN","ILLINOIS",0.537010159651669,14800,27560,34800
"635","17139","MOULTRIE","ILLINOIS",0.562740707568294,6283,11165,14915
"636","17141","OGLE","ILLINOIS",0.627086573354069,24193,38580,52035
"637","17143","PEORIA","ILLINOIS",0.573307529394581,78503,136930,186820
"638","17145","PERRY","ILLINOIS",0.571022891915387,9853,17255,21595
"639","17147","PIATT","ILLINOIS",0.712376433372875,9008,12645,16470
"640","17149","PIKE","ILLINOIS",0.605062274005625,7530,12445,16055
"641","17151","POPE","ILLINOIS",0.61025641025641,2142,3510,4255
"642","17153","PULASKI","ILLINOIS",0.614606741573034,2735,4450,5790
"643","17155","PUTNAM","ILLINOIS",0.69210233592881,3111,4495,5745
"644","17157","RANDOLPH","ILLINOIS",0.537855248200076,14194,26390,32935
